,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delivery_rating,delivery_cost,delayed_numeric
distance_km,1.0,0.0023113678722383032,0.685883364912257,0.045236172748471325,-0.13263419102134008,0.9907716907515551,0.17436462113815118
package_weight_kg,0.0023113678722383032,1.0,0.0012418196183245286,0.0014418780713856517,-0.0028906149515824193,0.09947871252002988,0.000962124388916946
delivery_time_hours,0.685883364912257,0.0012418196183245286,1.0,0.039755404773175365,-0.2726369187110168,0.6789110668010905,0.35775155927866853
expected_time_hours,0.045236172748471325,0.0014418780713856517,0.039755404773175365,1.0,0.46287229994445095,-0.025480230267363773,-0.5908064607971988
delivery_rating,-0.13263419102134008,-0.0028906149515824193,-0.2726369187110168,0.46287229994445095,1.0,-0.16067948704020624,-0.7773456869689274
delivery_cost,0.9907716907515551,0.09947871252002988,0.6789110668010905,-0.025480230267363773,-0.16067948704020624,1.0,0.21001225650877892
delayed_numeric,0.17436462113815118,0.000962124388916946,0.35775155927866853,-0.5908064607971988,-0.7773456869689274,0.21001225650877892,1.0
